group_id,reasoning_type,variant,gold,pred,correct
caus_v3_010,causal,distractor,yes,yes,True
caus_v3_011,causal,original,no,no,True
caus_v3_011,causal,paraphrase,no,no,True
caus_v3_011,causal,lexical_shift,no,no,True
caus_v3_011,causal,reasoning_path_shift,no,no,True
caus_v3_011,causal,distractor,no,no,True
caus_v3_012,causal,original,no,no,True
caus_v3_012,causal,paraphrase,no,no,True
caus_v3_012,causal,lexical_shift,no,no,True
caus_v3_012,causal,reasoning_path_shift,no,no,True
caus_v3_012,causal,distractor,no,no,True
caus_v3_013,causal,original,no,no,True
caus_v3_013,causal,paraphrase,no,no,True
caus_v3_013,causal,lexical_shift,no,no,True
caus_v3_013,causal,reasoning_path_shift,no,no,True
caus_v3_013,causal,distractor,no,no,True
caus_v3_014,causal,original,no,no,True
caus_v3_014,causal,paraphrase,no,no,True
caus_v3_014,causal,lexical_shift,no,no,True
caus_v3_014,causal,reasoning_path_shift,no,no,True
caus_v3_014,causal,distractor,no,no,True
caus_v3_015,causal,original,no,no,True
caus_v3_015,causal,paraphrase,no,no,True
caus_v3_015,causal,lexical_shift,no,no,True
caus_v3_015,causal,reasoning_path_shift,no,no,True
caus_v3_015,causal,distractor,no,no,True
caus_v3_016,causal,original,no,no,True
caus_v3_016,causal,paraphrase,no,no,True
caus_v3_016,causal,lexical_shift,no,no,True
caus_v3_016,causal,reasoning_path_shift,no,no,True
caus_v3_016,causal,distractor,no,no,True
caus_v3_017,causal,original,no,no,True
caus_v3_017,causal,paraphrase,no,no,True
caus_v3_017,causal,lexical_shift,no,no,True
caus_v3_017,causal,reasoning_path_shift,no,no,True
caus_v3_017,causal,distractor,no,no,True
caus_v3_018,causal,original,no,no,True
caus_v3_018,causal,paraphrase,no,no,True
caus_v3_018,causal,lexical_shift,no,no,True
caus_v3_018,causal,reasoning_path_shift,no,no,True
caus_v3_018,causal,distractor,no,no,True
caus_v3_019,causal,original,no,no,True
caus_v3_019,causal,paraphrase,no,no,True
caus_v3_019,causal,lexical_shift,no,no,True
caus_v3_019,causal,reasoning_path_shift,no,no,True
caus_v3_019,causal,distractor,no,no,True
caus_v3_020,causal,original,no,no,True
caus_v3_020,causal,paraphrase,no,no,True
caus_v3_020,causal,lexical_shift,no,no,True
caus_v3_020,causal,reasoning_path_shift,no,no,True
caus_v3_020,causal,distractor,no,no,True
comm_v3_001,commonsense,original,yes,yes,True
comm_v3_001,commonsense,paraphrase,yes,yes,True
comm_v3_001,commonsense,lexical_shift,yes,yes,True
comm_v3_001,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_001,commonsense,distractor,yes,yes,True
comm_v3_002,commonsense,original,yes,yes,True
comm_v3_002,commonsense,paraphrase,yes,yes,True
comm_v3_002,commonsense,lexical_shift,yes,yes,True
comm_v3_002,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_002,commonsense,distractor,yes,yes,True
comm_v3_003,commonsense,original,yes,yes,True
comm_v3_003,commonsense,paraphrase,yes,yes,True
comm_v3_003,commonsense,lexical_shift,yes,yes,True
comm_v3_003,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_003,commonsense,distractor,yes,yes,True
comm_v3_004,commonsense,original,yes,yes,True
comm_v3_004,commonsense,paraphrase,yes,yes,True
comm_v3_004,commonsense,lexical_shift,yes,yes,True
comm_v3_004,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_004,commonsense,distractor,yes,no,False
comm_v3_005,commonsense,original,yes,yes,True
comm_v3_005,commonsense,paraphrase,yes,yes,True
comm_v3_005,commonsense,lexical_shift,yes,yes,True
comm_v3_005,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_005,commonsense,distractor,yes,yes,True
comm_v3_006,commonsense,original,yes,yes,True
comm_v3_006,commonsense,paraphrase,yes,yes,True
comm_v3_006,commonsense,lexical_shift,yes,yes,True
comm_v3_006,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_006,commonsense,distractor,yes,yes,True
comm_v3_007,commonsense,original,yes,yes,True
comm_v3_007,commonsense,paraphrase,yes,yes,True
comm_v3_007,commonsense,lexical_shift,yes,yes,True
comm_v3_007,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_007,commonsense,distractor,yes,yes,True
comm_v3_008,commonsense,original,yes,yes,True
comm_v3_008,commonsense,paraphrase,yes,yes,True
comm_v3_008,commonsense,lexical_shift,yes,yes,True
comm_v3_008,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_008,commonsense,distractor,yes,no,False
comm_v3_009,commonsense,original,yes,yes,True
comm_v3_009,commonsense,paraphrase,yes,yes,True
comm_v3_009,commonsense,lexical_shift,yes,yes,True
comm_v3_009,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_009,commonsense,distractor,yes,yes,True
comm_v3_010,commonsense,original,yes,yes,True
comm_v3_010,commonsense,paraphrase,yes,yes,True
comm_v3_010,commonsense,lexical_shift,yes,yes,True
comm_v3_010,commonsense,reasoning_path_shift,yes,yes,True
comm_v3_010,commonsense,distractor,yes,no,False
comm_v3_011,commonsense,original,no,no,True
comm_v3_011,commonsense,paraphrase,no,no,True
comm_v3_011,commonsense,lexical_shift,no,no,True
comm_v3_011,commonsense,reasoning_path_shift,no,yes,False
comm_v3_011,commonsense,distractor,no,no,True
comm_v3_012,commonsense,original,no,no,True
comm_v3_012,commonsense,paraphrase,no,no,True
comm_v3_012,commonsense,lexical_shift,no,no,True
comm_v3_012,commonsense,reasoning_path_shift,no,yes,False
comm_v3_012,commonsense,distractor,no,no,True
comm_v3_013,commonsense,original,no,no,True
comm_v3_013,commonsense,paraphrase,no,no,True
comm_v3_013,commonsense,lexical_shift,no,no,True
comm_v3_013,commonsense,reasoning_path_shift,no,yes,False
comm_v3_013,commonsense,distractor,no,no,True
comm_v3_014,commonsense,original,no,no,True
comm_v3_014,commonsense,paraphrase,no,no,True
comm_v3_014,commonsense,lexical_shift,no,no,True
comm_v3_014,commonsense,reasoning_path_shift,no,yes,False
comm_v3_014,commonsense,distractor,no,no,True
comm_v3_015,commonsense,original,no,no,True
comm_v3_015,commonsense,paraphrase,no,no,True
comm_v3_015,commonsense,lexical_shift,no,no,True
comm_v3_015,commonsense,reasoning_path_shift,no,yes,False
comm_v3_015,commonsense,distractor,no,no,True
comm_v3_016,commonsense,original,no,no,True
comm_v3_016,commonsense,paraphrase,no,no,True
comm_v3_016,commonsense,lexical_shift,no,no,True
comm_v3_016,commonsense,reasoning_path_shift,no,yes,False
comm_v3_016,commonsense,distractor,no,no,True
comm_v3_017,commonsense,original,no,no,True
comm_v3_017,commonsense,paraphrase,no,no,True
comm_v3_017,commonsense,lexical_shift,no,no,True
comm_v3_017,commonsense,reasoning_path_shift,no,yes,False
comm_v3_017,commonsense,distractor,no,no,True
comm_v3_018,commonsense,original,no,no,True
comm_v3_018,commonsense,paraphrase,no,no,True
comm_v3_018,commonsense,lexical_shift,no,no,True
comm_v3_018,commonsense,reasoning_path_shift,no,yes,False
comm_v3_018,commonsense,distractor,no,no,True
comm_v3_019,commonsense,original,no,no,True
comm_v3_019,commonsense,paraphrase,no,no,True
comm_v3_019,commonsense,lexical_shift,no,no,True
comm_v3_019,commonsense,reasoning_path_shift,no,yes,False
comm_v3_019,commonsense,distractor,no,no,True
comm_v3_020,commonsense,original,no,no,True
comm_v3_020,commonsense,paraphrase,no,no,True
comm_v3_020,commonsense,lexical_shift,no,no,True
comm_v3_020,commonsense,reasoning_path_shift,no,yes,False
comm_v3_020,commonsense,distractor,no,no,True
cont_v3_001,contradiction,original,yes,yes,True
cont_v3_001,contradiction,paraphrase,yes,yes,True
cont_v3_001,contradiction,lexical_shift,yes,yes,True
cont_v3_001,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_001,contradiction,distractor,yes,yes,True
cont_v3_002,contradiction,original,yes,yes,True
cont_v3_002,contradiction,paraphrase,yes,yes,True
cont_v3_002,contradiction,lexical_shift,yes,yes,True
cont_v3_002,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_002,contradiction,distractor,yes,yes,True
cont_v3_003,contradiction,original,yes,yes,True
cont_v3_003,contradiction,paraphrase,yes,yes,True
cont_v3_003,contradiction,lexical_shift,yes,yes,True
cont_v3_003,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_003,contradiction,distractor,yes,yes,True
cont_v3_004,contradiction,original,yes,yes,True
cont_v3_004,contradiction,paraphrase,yes,yes,True
cont_v3_004,contradiction,lexical_shift,yes,yes,True
cont_v3_004,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_004,contradiction,distractor,yes,yes,True
cont_v3_005,contradiction,original,yes,yes,True
cont_v3_005,contradiction,paraphrase,yes,yes,True
cont_v3_005,contradiction,lexical_shift,yes,yes,True
cont_v3_005,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_005,contradiction,distractor,yes,yes,True
cont_v3_006,contradiction,original,yes,yes,True
cont_v3_006,contradiction,paraphrase,yes,yes,True
cont_v3_006,contradiction,lexical_shift,yes,yes,True
cont_v3_006,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_006,contradiction,distractor,yes,yes,True
cont_v3_007,contradiction,original,yes,yes,True
cont_v3_007,contradiction,paraphrase,yes,yes,True
cont_v3_007,contradiction,lexical_shift,yes,yes,True
cont_v3_007,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_007,contradiction,distractor,yes,yes,True
cont_v3_008,contradiction,original,yes,yes,True
cont_v3_008,contradiction,paraphrase,yes,yes,True
cont_v3_008,contradiction,lexical_shift,yes,yes,True
cont_v3_008,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_008,contradiction,distractor,yes,yes,True
cont_v3_009,contradiction,original,yes,yes,True
cont_v3_009,contradiction,paraphrase,yes,yes,True
cont_v3_009,contradiction,lexical_shift,yes,yes,True
cont_v3_009,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_009,contradiction,distractor,yes,yes,True
cont_v3_010,contradiction,original,yes,yes,True
cont_v3_010,contradiction,paraphrase,yes,yes,True
cont_v3_010,contradiction,lexical_shift,yes,yes,True
cont_v3_010,contradiction,reasoning_path_shift,yes,yes,True
cont_v3_010,contradiction,distractor,yes,yes,True
cont_v3_011,contradiction,original,no,no,True
cont_v3_011,contradiction,paraphrase,no,no,True
cont_v3_011,contradiction,lexical_shift,no,no,True
cont_v3_011,contradiction,reasoning_path_shift,no,yes,False
cont_v3_011,contradiction,distractor,no,no,True
cont_v3_012,contradiction,original,no,no,True
cont_v3_012,contradiction,paraphrase,no,no,True
cont_v3_012,contradiction,lexical_shift,no,no,True
cont_v3_012,contradiction,reasoning_path_shift,no,yes,False
cont_v3_012,contradiction,distractor,no,no,True
cont_v3_013,contradiction,original,no,no,True
cont_v3_013,contradiction,paraphrase,no,no,True
cont_v3_013,contradiction,lexical_shift,no,no,True
cont_v3_013,contradiction,reasoning_path_shift,no,yes,False
cont_v3_013,contradiction,distractor,no,no,True
cont_v3_014,contradiction,original,no,no,True
cont_v3_014,contradiction,paraphrase,no,no,True
cont_v3_014,contradiction,lexical_shift,no,no,True
cont_v3_014,contradiction,reasoning_path_shift,no,yes,False
cont_v3_014,contradiction,distractor,no,no,True
cont_v3_015,contradiction,original,no,no,True
cont_v3_015,contradiction,paraphrase,no,no,True
cont_v3_015,contradiction,lexical_shift,no,no,True
cont_v3_015,contradiction,reasoning_path_shift,no,yes,False
cont_v3_015,contradiction,distractor,no,no,True
cont_v3_016,contradiction,original,no,no,True
cont_v3_016,contradiction,paraphrase,no,no,True
cont_v3_016,contradiction,lexical_shift,no,no,True
cont_v3_016,contradiction,reasoning_path_shift,no,yes,False
cont_v3_016,contradiction,distractor,no,no,True
cont_v3_017,contradiction,original,no,no,True
cont_v3_017,contradiction,paraphrase,no,no,True
cont_v3_017,contradiction,lexical_shift,no,no,True
cont_v3_017,contradiction,reasoning_path_shift,no,yes,False
cont_v3_017,contradiction,distractor,no,no,True
cont_v3_018,contradiction,original,no,no,True
cont_v3_018,contradiction,paraphrase,no,no,True
cont_v3_018,contradiction,lexical_shift,no,no,True
cont_v3_018,contradiction,reasoning_path_shift,no,no,True
cont_v3_018,contradiction,distractor,no,no,True
cont_v3_019,contradiction,original,no,no,True
cont_v3_019,contradiction,paraphrase,no,no,True
cont_v3_019,contradiction,lexical_shift,no,no,True
cont_v3_019,contradiction,reasoning_path_shift,no,no,True
cont_v3_019,contradiction,distractor,no,no,True
cont_v3_020,contradiction,original,no,no,True
cont_v3_020,contradiction,paraphrase,no,no,True
cont_v3_020,contradiction,lexical_shift,no,no,True
cont_v3_020,contradiction,reasoning_path_shift,no,yes,False
cont_v3_020,contradiction,distractor,no,no,True
tax_v3_001,taxonomic,original,yes,yes,True
tax_v3_001,taxonomic,paraphrase,yes,yes,True
tax_v3_001,taxonomic,lexical_shift,yes,yes,True
tax_v3_001,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_001,taxonomic,distractor,yes,yes,True
tax_v3_002,taxonomic,original,yes,yes,True
tax_v3_002,taxonomic,paraphrase,yes,yes,True
tax_v3_002,taxonomic,lexical_shift,yes,yes,True
tax_v3_002,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_002,taxonomic,distractor,yes,yes,True
tax_v3_003,taxonomic,original,yes,yes,True
tax_v3_003,taxonomic,paraphrase,yes,yes,True
tax_v3_003,taxonomic,lexical_shift,yes,yes,True
tax_v3_003,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_003,taxonomic,distractor,yes,yes,True
tax_v3_004,taxonomic,original,yes,yes,True
tax_v3_004,taxonomic,paraphrase,yes,yes,True
tax_v3_004,taxonomic,lexical_shift,yes,yes,True
tax_v3_004,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_004,taxonomic,distractor,yes,yes,True
tax_v3_005,taxonomic,original,yes,yes,True
tax_v3_005,taxonomic,paraphrase,yes,yes,True
tax_v3_005,taxonomic,lexical_shift,yes,yes,True
tax_v3_005,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_005,taxonomic,distractor,yes,yes,True
tax_v3_006,taxonomic,original,yes,yes,True
tax_v3_006,taxonomic,paraphrase,yes,yes,True
tax_v3_006,taxonomic,lexical_shift,yes,yes,True
tax_v3_006,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_006,taxonomic,distractor,yes,yes,True
tax_v3_007,taxonomic,original,yes,yes,True
tax_v3_007,taxonomic,paraphrase,yes,yes,True
tax_v3_007,taxonomic,lexical_shift,yes,yes,True
tax_v3_007,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_007,taxonomic,distractor,yes,yes,True
tax_v3_008,taxonomic,original,yes,yes,True
tax_v3_008,taxonomic,paraphrase,yes,yes,True
tax_v3_008,taxonomic,lexical_shift,yes,yes,True
tax_v3_008,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_008,taxonomic,distractor,yes,yes,True
tax_v3_009,taxonomic,original,yes,yes,True
tax_v3_009,taxonomic,paraphrase,yes,yes,True
tax_v3_009,taxonomic,lexical_shift,yes,yes,True
tax_v3_009,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_009,taxonomic,distractor,yes,yes,True
tax_v3_010,taxonomic,original,yes,yes,True
tax_v3_010,taxonomic,paraphrase,yes,yes,True
tax_v3_010,taxonomic,lexical_shift,yes,yes,True
tax_v3_010,taxonomic,reasoning_path_shift,yes,yes,True
tax_v3_010,taxonomic,distractor,yes,yes,True
tax_v3_011,taxonomic,original,no,no,True
tax_v3_011,taxonomic,paraphrase,no,no,True
tax_v3_011,taxonomic,lexical_shift,no,no,True
tax_v3_011,taxonomic,reasoning_path_shift,no,no,True
tax_v3_011,taxonomic,distractor,no,no,True
tax_v3_012,taxonomic,original,no,no,True
tax_v3_012,taxonomic,paraphrase,no,no,True
tax_v3_012,taxonomic,lexical_shift,no,no,True
tax_v3_012,taxonomic,reasoning_path_shift,no,no,True
tax_v3_012,taxonomic,distractor,no,no,True
tax_v3_013,taxonomic,original,no,no,True
tax_v3_013,taxonomic,paraphrase,no,no,True
tax_v3_013,taxonomic,lexical_shift,no,no,True
tax_v3_013,taxonomic,reasoning_path_shift,no,no,True
tax_v3_013,taxonomic,distractor,no,no,True
tax_v3_014,taxonomic,original,no,no,True
tax_v3_014,taxonomic,paraphrase,no,no,True
tax_v3_014,taxonomic,lexical_shift,no,no,True
tax_v3_014,taxonomic,reasoning_path_shift,no,no,True
tax_v3_014,taxonomic,distractor,no,no,True
tax_v3_015,taxonomic,original,no,no,True
tax_v3_015,taxonomic,paraphrase,no,no,True
tax_v3_015,taxonomic,lexical_shift,no,no,True
tax_v3_015,taxonomic,reasoning_path_shift,no,no,True
tax_v3_015,taxonomic,distractor,no,no,True
tax_v3_016,taxonomic,original,no,no,True
tax_v3_016,taxonomic,paraphrase,no,no,True
tax_v3_016,taxonomic,lexical_shift,no,no,True
tax_v3_016,taxonomic,reasoning_path_shift,no,no,True
tax_v3_016,taxonomic,distractor,no,no,True
tax_v3_017,taxonomic,original,no,no,True
tax_v3_017,taxonomic,paraphrase,no,no,True
tax_v3_017,taxonomic,lexical_shift,no,no,True
tax_v3_017,taxonomic,reasoning_path_shift,no,no,True
tax_v3_017,taxonomic,distractor,no,no,True
tax_v3_018,taxonomic,original,no,no,True
tax_v3_018,taxonomic,paraphrase,no,no,True
tax_v3_018,taxonomic,lexical_shift,no,no,True
tax_v3_018,taxonomic,reasoning_path_shift,no,no,True
tax_v3_018,taxonomic,distractor,no,no,True
tax_v3_019,taxonomic,original,no,no,True
tax_v3_019,taxonomic,paraphrase,no,no,True
tax_v3_019,taxonomic,lexical_shift,no,no,True
tax_v3_019,taxonomic,reasoning_path_shift,no,no,True
tax_v3_019,taxonomic,distractor,no,no,True
tax_v3_020,taxonomic,original,no,no,True
tax_v3_020,taxonomic,paraphrase,no,no,True
tax_v3_020,taxonomic,lexical_shift,no,no,True
tax_v3_020,taxonomic,reasoning_path_shift,no,no,True
tax_v3_020,taxonomic,distractor,no,no,True
trans_v3_001,transitive,original,yes,yes,True
trans_v3_001,transitive,paraphrase,yes,yes,True
trans_v3_001,transitive,lexical_shift,yes,yes,True
trans_v3_001,transitive,reasoning_path_shift,yes,yes,True
trans_v3_001,transitive,distractor,yes,yes,True
trans_v3_002,transitive,original,yes,yes,True
trans_v3_002,transitive,paraphrase,yes,yes,True
trans_v3_002,transitive,lexical_shift,yes,yes,True
trans_v3_002,transitive,reasoning_path_shift,yes,yes,True
trans_v3_002,transitive,distractor,yes,yes,True
trans_v3_003,transitive,original,yes,yes,True
trans_v3_003,transitive,paraphrase,yes,yes,True
trans_v3_003,transitive,lexical_shift,yes,yes,True
trans_v3_003,transitive,reasoning_path_shift,yes,yes,True
trans_v3_003,transitive,distractor,yes,yes,True
trans_v3_004,transitive,original,yes,yes,True
trans_v3_004,transitive,paraphrase,yes,yes,True
trans_v3_004,transitive,lexical_shift,yes,yes,True
trans_v3_004,transitive,reasoning_path_shift,yes,yes,True
trans_v3_004,transitive,distractor,yes,yes,True
trans_v3_005,transitive,original,yes,yes,True
trans_v3_005,transitive,paraphrase,yes,yes,True
trans_v3_005,transitive,lexical_shift,yes,yes,True
trans_v3_005,transitive,reasoning_path_shift,yes,yes,True
trans_v3_005,transitive,distractor,yes,yes,True
trans_v3_006,transitive,original,yes,yes,True
trans_v3_006,transitive,paraphrase,yes,yes,True
trans_v3_006,transitive,lexical_shift,yes,yes,True
trans_v3_006,transitive,reasoning_path_shift,yes,yes,True
trans_v3_006,transitive,distractor,yes,yes,True
trans_v3_007,transitive,original,yes,yes,True
trans_v3_007,transitive,paraphrase,yes,yes,True
trans_v3_007,transitive,lexical_shift,yes,yes,True
trans_v3_007,transitive,reasoning_path_shift,yes,yes,True
trans_v3_007,transitive,distractor,yes,yes,True
trans_v3_008,transitive,original,yes,yes,True
trans_v3_008,transitive,paraphrase,yes,yes,True
trans_v3_008,transitive,lexical_shift,yes,yes,True
trans_v3_008,transitive,reasoning_path_shift,yes,yes,True
trans_v3_008,transitive,distractor,yes,yes,True
trans_v3_009,transitive,original,yes,yes,True
trans_v3_009,transitive,paraphrase,yes,yes,True
trans_v3_009,transitive,lexical_shift,yes,yes,True
trans_v3_009,transitive,reasoning_path_shift,yes,yes,True
trans_v3_009,transitive,distractor,yes,yes,True
trans_v3_010,transitive,original,yes,yes,True
trans_v3_010,transitive,paraphrase,yes,yes,True
trans_v3_010,transitive,lexical_shift,yes,yes,True
trans_v3_010,transitive,reasoning_path_shift,yes,yes,True
trans_v3_010,transitive,distractor,yes,yes,True
trans_v3_011,transitive,original,no,no,True
trans_v3_011,transitive,paraphrase,no,no,True
trans_v3_011,transitive,lexical_shift,no,no,True
trans_v3_011,transitive,reasoning_path_shift,no,no,True
trans_v3_011,transitive,distractor,no,no,True
trans_v3_012,transitive,original,no,no,True
trans_v3_012,transitive,paraphrase,no,no,True
trans_v3_012,transitive,lexical_shift,no,no,True
trans_v3_012,transitive,reasoning_path_shift,no,no,True
trans_v3_012,transitive,distractor,no,no,True
trans_v3_013,transitive,original,no,no,True
trans_v3_013,transitive,paraphrase,no,no,True
trans_v3_013,transitive,lexical_shift,no,no,True
trans_v3_013,transitive,reasoning_path_shift,no,no,True
trans_v3_013,transitive,distractor,no,no,True
trans_v3_014,transitive,original,no,no,True
trans_v3_014,transitive,paraphrase,no,no,True
trans_v3_014,transitive,lexical_shift,no,no,True
trans_v3_014,transitive,reasoning_path_shift,no,no,True
trans_v3_014,transitive,distractor,no,no,True
trans_v3_015,transitive,original,no,no,True
trans_v3_015,transitive,paraphrase,no,no,True
trans_v3_015,transitive,lexical_shift,no,no,True
trans_v3_015,transitive,reasoning_path_shift,no,no,True
trans_v3_015,transitive,distractor,no,no,True
trans_v3_016,transitive,original,no,no,True
trans_v3_016,transitive,paraphrase,no,no,True
trans_v3_016,transitive,lexical_shift,no,no,True
trans_v3_016,transitive,reasoning_path_shift,no,no,True
trans_v3_016,transitive,distractor,no,no,True
trans_v3_017,transitive,original,no,no,True
trans_v3_017,transitive,paraphrase,no,no,True
trans_v3_017,transitive,lexical_shift,no,no,True
trans_v3_017,transitive,reasoning_path_shift,no,no,True
trans_v3_017,transitive,distractor,no,no,True
trans_v3_018,transitive,original,no,no,True
trans_v3_018,transitive,paraphrase,no,no,True
trans_v3_018,transitive,lexical_shift,no,no,True
trans_v3_018,transitive,reasoning_path_shift,no,no,True
trans_v3_018,transitive,distractor,no,no,True
trans_v3_019,transitive,original,no,no,True
trans_v3_019,transitive,paraphrase,no,no,True
trans_v3_019,transitive,lexical_shift,no,no,True
trans_v3_019,transitive,reasoning_path_shift,no,no,True
trans_v3_019,transitive,distractor,no,no,True
trans_v3_020,transitive,original,no,no,True
trans_v3_020,transitive,paraphrase,no,no,True
trans_v3_020,transitive,lexical_shift,no,no,True
trans_v3_020,transitive,reasoning_path_shift,no,no,True
trans_v3_020,transitive,distractor,no,no,True
