id,gold,variant,pred,correct,question
22,yes,frame_a,yes,True,is there such thing as unsweetened condensed milk
22,yes,frame_b,yes,True,is there such thing as unsweetened condensed milk
23,yes,original,yes,True,is the lady liberty stamp a forever stamp
23,yes,distractor,yes,True,is the lady liberty stamp a forever stamp
23,yes,frame_a,yes,True,is the lady liberty stamp a forever stamp
23,yes,frame_b,yes,True,is the lady liberty stamp a forever stamp
24,no,original,no,True,does elmer's glue have milk in it
24,no,distractor,no,True,does elmer's glue have milk in it
24,no,frame_a,no,True,does elmer's glue have milk in it
24,no,frame_b,no,True,does elmer's glue have milk in it
25,yes,original,yes,True,is raging bull based on a true story
25,yes,distractor,yes,True,is raging bull based on a true story
25,yes,frame_a,yes,True,is raging bull based on a true story
25,yes,frame_b,yes,True,is raging bull based on a true story
26,no,original,no,True,do all xbox 360 games work on xbox 1
26,no,distractor,no,True,do all xbox 360 games work on xbox 1
26,no,frame_a,no,True,do all xbox 360 games work on xbox 1
26,no,frame_b,no,True,do all xbox 360 games work on xbox 1
27,no,original,yes,False,is there a main group element in period 6
27,no,distractor,yes,False,is there a main group element in period 6
27,no,frame_a,yes,False,is there a main group element in period 6
27,no,frame_b,unknown,False,is there a main group element in period 6
28,yes,original,yes,True,can you grow olives in the united states
28,yes,distractor,yes,True,can you grow olives in the united states
28,yes,frame_a,yes,True,can you grow olives in the united states
28,yes,frame_b,yes,True,can you grow olives in the united states
29,no,original,no,True,will there be a 6th season of hell on wheels
29,no,distractor,no,True,will there be a 6th season of hell on wheels
29,no,frame_a,no,True,will there be a 6th season of hell on wheels
29,no,frame_b,no,True,will there be a 6th season of hell on wheels
30,yes,original,no,False,is a cape and a cloak the same
30,yes,distractor,no,False,is a cape and a cloak the same
30,yes,frame_a,no,False,is a cape and a cloak the same
30,yes,frame_b,no,False,is a cape and a cloak the same
31,no,original,no,True,was better call saul filmed before breaking bad
31,no,distractor,no,True,was better call saul filmed before breaking bad
31,no,frame_a,no,True,was better call saul filmed before breaking bad
31,no,frame_b,no,True,was better call saul filmed before breaking bad
32,yes,original,yes,True,is a tax free savings account an investment
32,yes,distractor,yes,True,is a tax free savings account an investment
32,yes,frame_a,yes,True,is a tax free savings account an investment
32,yes,frame_b,no,False,is a tax free savings account an investment
33,yes,original,no,False,do the internal intercostal muscles contract during inspiration
33,yes,distractor,no,False,do the internal intercostal muscles contract during inspiration
33,yes,frame_a,no,False,do the internal intercostal muscles contract during inspiration
33,yes,frame_b,no,False,do the internal intercostal muscles contract during inspiration
34,yes,original,yes,True,does smackdown vs raw 2008 have gm mode
34,yes,distractor,yes,True,does smackdown vs raw 2008 have gm mode
34,yes,frame_a,yes,True,does smackdown vs raw 2008 have gm mode
34,yes,frame_b,yes,True,does smackdown vs raw 2008 have gm mode
35,yes,original,no,False,can a widower marry his sister in law
35,yes,distractor,yes,True,can a widower marry his sister in law
35,yes,frame_a,yes,True,can a widower marry his sister in law
35,yes,frame_b,no,False,can a widower marry his sister in law
36,yes,original,yes,True,is test track the fastest ride in disney
36,yes,distractor,yes,True,is test track the fastest ride in disney
36,yes,frame_a,yes,True,is test track the fastest ride in disney
36,yes,frame_b,yes,True,is test track the fastest ride in disney
37,yes,original,yes,True,is us virgin islands part of the caribbean
37,yes,distractor,yes,True,is us virgin islands part of the caribbean
37,yes,frame_a,yes,True,is us virgin islands part of the caribbean
37,yes,frame_b,yes,True,is us virgin islands part of the caribbean
38,no,original,no,True,is dragon fruit and pitaya the same thing
38,no,distractor,no,True,is dragon fruit and pitaya the same thing
38,no,frame_a,no,True,is dragon fruit and pitaya the same thing
38,no,frame_b,no,True,is dragon fruit and pitaya the same thing
39,yes,original,yes,True,is the movie a wrinkle in time out
39,yes,distractor,yes,True,is the movie a wrinkle in time out
39,yes,frame_a,yes,True,is the movie a wrinkle in time out
39,yes,frame_b,yes,True,is the movie a wrinkle in time out
40,yes,original,yes,True,is the summer soltice the longest day of the year
40,yes,distractor,yes,True,is the summer soltice the longest day of the year
40,yes,frame_a,yes,True,is the summer soltice the longest day of the year
40,yes,frame_b,yes,True,is the summer soltice the longest day of the year
41,yes,original,yes,True,is there any train between india and pakistan
41,yes,distractor,yes,True,is there any train between india and pakistan
41,yes,frame_a,yes,True,is there any train between india and pakistan
41,yes,frame_b,yes,True,is there any train between india and pakistan
42,no,original,no,True,does bourbon have to be made in bourbon county
42,no,distractor,no,True,does bourbon have to be made in bourbon county
42,no,frame_a,no,True,does bourbon have to be made in bourbon county
42,no,frame_b,no,True,does bourbon have to be made in bourbon county
43,yes,original,yes,True,can you buy alcohol on sunday in indiana 2018
43,yes,distractor,yes,True,can you buy alcohol on sunday in indiana 2018
43,yes,frame_a,yes,True,can you buy alcohol on sunday in indiana 2018
43,yes,frame_b,yes,True,can you buy alcohol on sunday in indiana 2018
44,no,original,no,True,is in n out only located in california
44,no,distractor,no,True,is in n out only located in california
44,no,frame_a,no,True,is in n out only located in california
44,no,frame_b,no,True,is in n out only located in california
45,no,original,no,True,can we have more than 9 supreme court justices
45,no,distractor,no,True,can we have more than 9 supreme court justices
45,no,frame_a,no,True,can we have more than 9 supreme court justices
45,no,frame_b,no,True,can we have more than 9 supreme court justices
46,no,original,no,True,do we find out where fez is from
46,no,distractor,no,True,do we find out where fez is from
46,no,frame_a,no,True,do we find out where fez is from
46,no,frame_b,no,True,do we find out where fez is from
47,no,original,no,True,did us ever win the world cup soccer
47,no,distractor,no,True,did us ever win the world cup soccer
47,no,frame_a,no,True,did us ever win the world cup soccer
47,no,frame_b,no,True,did us ever win the world cup soccer
48,no,original,no,True,do long island iced teas have tea in them
48,no,distractor,no,True,do long island iced teas have tea in them
48,no,frame_a,no,True,do long island iced teas have tea in them
48,no,frame_b,no,True,do long island iced teas have tea in them
49,yes,original,no,False,does the right atrium receive blood from the lungs
49,yes,distractor,no,False,does the right atrium receive blood from the lungs
49,yes,frame_a,no,False,does the right atrium receive blood from the lungs
49,yes,frame_b,no,False,does the right atrium receive blood from the lungs
50,no,original,no,True,is benzalkonium chloride the same as hydrogen peroxide
50,no,distractor,no,True,is benzalkonium chloride the same as hydrogen peroxide
50,no,frame_a,no,True,is benzalkonium chloride the same as hydrogen peroxide
50,no,frame_b,no,True,is benzalkonium chloride the same as hydrogen peroxide
51,no,original,no,True,can we travel faster than speed of light
51,no,distractor,no,True,can we travel faster than speed of light
51,no,frame_a,no,True,can we travel faster than speed of light
51,no,frame_b,no,True,can we travel faster than speed of light
52,yes,original,yes,True,are activated charcoal and activated carbon the same
52,yes,distractor,yes,True,are activated charcoal and activated carbon the same
52,yes,frame_a,yes,True,are activated charcoal and activated carbon the same
52,yes,frame_b,yes,True,are activated charcoal and activated carbon the same
53,yes,original,yes,True,was mama mia a play before a movie
53,yes,distractor,yes,True,was mama mia a play before a movie
53,yes,frame_a,yes,True,was mama mia a play before a movie
53,yes,frame_b,yes,True,was mama mia a play before a movie
54,no,original,no,True,is new york and new jersey the same state
54,no,distractor,no,True,is new york and new jersey the same state
54,no,frame_a,no,True,is new york and new jersey the same state
54,no,frame_b,no,True,is new york and new jersey the same state
55,yes,original,unknown,False,are any of the original members of lynyrd skynyrd alive
55,yes,distractor,yes,True,are any of the original members of lynyrd skynyrd alive
55,yes,frame_a,yes,True,are any of the original members of lynyrd skynyrd alive
55,yes,frame_b,yes,True,are any of the original members of lynyrd skynyrd alive
56,no,original,no,True,do dalmatians have spots when they are born
56,no,distractor,no,True,do dalmatians have spots when they are born
56,no,frame_a,no,True,do dalmatians have spots when they are born
56,no,frame_b,no,True,do dalmatians have spots when they are born
57,no,original,no,True,are $10 000 bills still in circulation
57,no,distractor,no,True,are $10 000 bills still in circulation
57,no,frame_a,no,True,are $10 000 bills still in circulation
57,no,frame_b,no,True,are $10 000 bills still in circulation
58,no,original,no,True,is the esophagus in front of the heart
58,no,distractor,no,True,is the esophagus in front of the heart
58,no,frame_a,no,True,is the esophagus in front of the heart
58,no,frame_b,no,True,is the esophagus in front of the heart
59,no,original,no,True,do college football players have to enter the draft
59,no,distractor,no,True,do college football players have to enter the draft
59,no,frame_a,no,True,do college football players have to enter the draft
59,no,frame_b,no,True,do college football players have to enter the draft
60,yes,original,yes,True,can i go to montenegro with a schengen visa
60,yes,distractor,yes,True,can i go to montenegro with a schengen visa
60,yes,frame_a,yes,True,can i go to montenegro with a schengen visa
60,yes,frame_b,yes,True,can i go to montenegro with a schengen visa
61,no,original,no,True,is los lobos in the rock and roll hall of fame
61,no,distractor,no,True,is los lobos in the rock and roll hall of fame
61,no,frame_a,no,True,is los lobos in the rock and roll hall of fame
61,no,frame_b,no,True,is los lobos in the rock and roll hall of fame
62,no,original,no,True,did my name is earl finish his list
62,no,distractor,no,True,did my name is earl finish his list
62,no,frame_a,no,True,did my name is earl finish his list
62,no,frame_b,no,True,did my name is earl finish his list
63,yes,original,yes,True,does minute maid stadium have a retractable roof
63,yes,distractor,yes,True,does minute maid stadium have a retractable roof
63,yes,frame_a,yes,True,does minute maid stadium have a retractable roof
63,yes,frame_b,yes,True,does minute maid stadium have a retractable roof
64,yes,original,yes,True,can you call the police with no sim
64,yes,distractor,yes,True,can you call the police with no sim
64,yes,frame_a,yes,True,can you call the police with no sim
64,yes,frame_b,yes,True,can you call the police with no sim
65,yes,original,yes,True,is there such thing as over drinking water
65,yes,distractor,yes,True,is there such thing as over drinking water
65,yes,frame_a,yes,True,is there such thing as over drinking water
65,yes,frame_b,yes,True,is there such thing as over drinking water
66,yes,original,yes,True,is there a sequel to the whole nine yards
66,yes,distractor,yes,True,is there a sequel to the whole nine yards
66,yes,frame_a,yes,True,is there a sequel to the whole nine yards
66,yes,frame_b,yes,True,is there a sequel to the whole nine yards
67,no,original,no,True,is there a difference between soy and soya sauce
67,no,distractor,no,True,is there a difference between soy and soya sauce
67,no,frame_a,no,True,is there a difference between soy and soya sauce
67,no,frame_b,no,True,is there a difference between soy and soya sauce
68,yes,original,yes,True,does it matter which number comes first in a ratio
68,yes,distractor,yes,True,does it matter which number comes first in a ratio
68,yes,frame_a,yes,True,does it matter which number comes first in a ratio
68,yes,frame_b,yes,True,does it matter which number comes first in a ratio
69,no,original,no,True,did tom hardy won an oscar for the revenant
69,no,distractor,no,True,did tom hardy won an oscar for the revenant
69,no,frame_a,no,True,did tom hardy won an oscar for the revenant
69,no,frame_b,no,True,did tom hardy won an oscar for the revenant
70,yes,original,yes,True,can the non-striker be run out by the bowler
70,yes,distractor,yes,True,can the non-striker be run out by the bowler
70,yes,frame_a,yes,True,can the non-striker be run out by the bowler
70,yes,frame_b,yes,True,can the non-striker be run out by the bowler
71,no,original,no,True,is 7.62 nato the same as 308 win
71,no,distractor,no,True,is 7.62 nato the same as 308 win
71,no,frame_a,no,True,is 7.62 nato the same as 308 win
71,no,frame_b,no,True,is 7.62 nato the same as 308 win
72,yes,original,no,False,is there overlap between the different organ systems in a vertebrate
72,yes,distractor,no,False,is there overlap between the different organ systems in a vertebrate
72,yes,frame_a,unknown,False,is there overlap between the different organ systems in a vertebrate
72,yes,frame_b,no,False,is there overlap between the different organ systems in a vertebrate
73,yes,original,yes,True,does winning the fa cup qualify for europe
73,yes,distractor,yes,True,does winning the fa cup qualify for europe
73,yes,frame_a,yes,True,does winning the fa cup qualify for europe
73,yes,frame_b,yes,True,does winning the fa cup qualify for europe
74,no,original,no,True,is the fruit orange named after the color
74,no,distractor,no,True,is the fruit orange named after the color
74,no,frame_a,no,True,is the fruit orange named after the color
74,no,frame_b,no,True,is the fruit orange named after the color
75,no,original,no,True,does a paladin have to be lawful good
75,no,distractor,no,True,does a paladin have to be lawful good
75,no,frame_a,no,True,does a paladin have to be lawful good
75,no,frame_b,no,True,does a paladin have to be lawful good
76,yes,original,yes,True,does the government own the us postal service
76,yes,distractor,yes,True,does the government own the us postal service
76,yes,frame_a,yes,True,does the government own the us postal service
76,yes,frame_b,yes,True,does the government own the us postal service
77,no,original,no,True,is coca tea legal in the united states
77,no,distractor,no,True,is coca tea legal in the united states
77,no,frame_a,no,True,is coca tea legal in the united states
77,no,frame_b,no,True,is coca tea legal in the united states
78,yes,original,yes,True,do all colors of fruit loops taste the same
78,yes,distractor,yes,True,do all colors of fruit loops taste the same
78,yes,frame_a,yes,True,do all colors of fruit loops taste the same
78,yes,frame_b,yes,True,do all colors of fruit loops taste the same
79,no,original,no,True,is antarctica the same as the south pole
79,no,distractor,no,True,is antarctica the same as the south pole
79,no,frame_a,no,True,is antarctica the same as the south pole
79,no,frame_b,no,True,is antarctica the same as the south pole
80,yes,original,yes,True,does the a train go to penn station
80,yes,distractor,yes,True,does the a train go to penn station
80,yes,frame_a,yes,True,does the a train go to penn station
80,yes,frame_b,yes,True,does the a train go to penn station
81,yes,original,yes,True,are flash arrow and supergirl in the same universe
81,yes,distractor,yes,True,are flash arrow and supergirl in the same universe
81,yes,frame_a,yes,True,are flash arrow and supergirl in the same universe
81,yes,frame_b,yes,True,are flash arrow and supergirl in the same universe
82,yes,original,yes,True,do all craftsman tools have a lifetime warranty
82,yes,distractor,yes,True,do all craftsman tools have a lifetime warranty
82,yes,frame_a,no,False,do all craftsman tools have a lifetime warranty
82,yes,frame_b,no,False,do all craftsman tools have a lifetime warranty
83,yes,original,no,False,is there a zoo in las vegas nevada
83,yes,distractor,no,False,is there a zoo in las vegas nevada
83,yes,frame_a,no,False,is there a zoo in las vegas nevada
83,yes,frame_b,no,False,is there a zoo in las vegas nevada
84,no,original,no,True,can an american president run for 3 terms
84,no,distractor,no,True,can an american president run for 3 terms
84,no,frame_a,no,True,can an american president run for 3 terms
84,no,frame_b,no,True,can an american president run for 3 terms
85,yes,original,yes,True,does switzerland allow free movement of eu citizens
85,yes,distractor,yes,True,does switzerland allow free movement of eu citizens
85,yes,frame_a,yes,True,does switzerland allow free movement of eu citizens
85,yes,frame_b,yes,True,does switzerland allow free movement of eu citizens
86,yes,original,yes,True,did spain win the world cup in 2010
86,yes,distractor,yes,True,did spain win the world cup in 2010
86,yes,frame_a,yes,True,did spain win the world cup in 2010
86,yes,frame_b,yes,True,did spain win the world cup in 2010
87,no,original,no,True,do you have to touch the ball to be offside in soccer
87,no,distractor,no,True,do you have to touch the ball to be offside in soccer
87,no,frame_a,no,True,do you have to touch the ball to be offside in soccer
87,no,frame_b,no,True,do you have to touch the ball to be offside in soccer
88,yes,original,yes,True,are there only 2 rounds in the nba draft
88,yes,distractor,yes,True,are there only 2 rounds in the nba draft
88,yes,frame_a,yes,True,are there only 2 rounds in the nba draft
88,yes,frame_b,yes,True,are there only 2 rounds in the nba draft
89,yes,original,unknown,False,is married at first sight still on tv
89,yes,distractor,yes,True,is married at first sight still on tv
89,yes,frame_a,unknown,False,is married at first sight still on tv
89,yes,frame_b,no,False,is married at first sight still on tv
90,no,original,no,True,can an emt-basic start an iv
90,no,distractor,no,True,can an emt-basic start an iv
90,no,frame_a,no,True,can an emt-basic start an iv
90,no,frame_b,no,True,can an emt-basic start an iv
91,yes,original,yes,True,is there a golf course at the indy 500
91,yes,distractor,yes,True,is there a golf course at the indy 500
91,yes,frame_a,yes,True,is there a golf course at the indy 500
91,yes,frame_b,yes,True,is there a golf course at the indy 500
92,yes,original,unknown,False,is the palace of versailles open to the public
92,yes,distractor,yes,True,is the palace of versailles open to the public
92,yes,frame_a,no,False,is the palace of versailles open to the public
92,yes,frame_b,no,False,is the palace of versailles open to the public
93,yes,original,yes,True,is there such a thing as a fainting goat
93,yes,distractor,yes,True,is there such a thing as a fainting goat
93,yes,frame_a,yes,True,is there such a thing as a fainting goat
93,yes,frame_b,yes,True,is there such a thing as a fainting goat
94,yes,original,no,False,is there an interstate that goes coast to coast
94,yes,distractor,yes,True,is there an interstate that goes coast to coast
94,yes,frame_a,yes,True,is there an interstate that goes coast to coast
94,yes,frame_b,no,False,is there an interstate that goes coast to coast
95,yes,original,no,False,are the ryman and grand ole opry the same thing
95,yes,distractor,no,False,are the ryman and grand ole opry the same thing
95,yes,frame_a,no,False,are the ryman and grand ole opry the same thing
95,yes,frame_b,no,False,are the ryman and grand ole opry the same thing
96,yes,original,yes,True,is a nissan titan a full size truck
96,yes,distractor,yes,True,is a nissan titan a full size truck
96,yes,frame_a,yes,True,is a nissan titan a full size truck
96,yes,frame_b,yes,True,is a nissan titan a full size truck
97,yes,original,yes,True,has anyone won the million dollars on are you smarter than a fifth grader
97,yes,distractor,yes,True,has anyone won the million dollars on are you smarter than a fifth grader
97,yes,frame_a,yes,True,has anyone won the million dollars on are you smarter than a fifth grader
97,yes,frame_b,yes,True,has anyone won the million dollars on are you smarter than a fifth grader
98,yes,original,yes,True,does shadow of mordor take place before lotr
98,yes,distractor,yes,True,does shadow of mordor take place before lotr
98,yes,frame_a,yes,True,does shadow of mordor take place before lotr
98,yes,frame_b,yes,True,does shadow of mordor take place before lotr
99,no,original,no,True,has wisconsin ever been in the little league world series
99,no,distractor,no,True,has wisconsin ever been in the little league world series
99,no,frame_a,no,True,has wisconsin ever been in the little league world series
99,no,frame_b,no,True,has wisconsin ever been in the little league world series
100,yes,original,yes,True,does dory find her parents in finding dory
100,yes,distractor,yes,True,does dory find her parents in finding dory
100,yes,frame_a,yes,True,does dory find her parents in finding dory
100,yes,frame_b,yes,True,does dory find her parents in finding dory
101,no,original,no,True,is single research design suitable in all research studies
101,no,distractor,no,True,is single research design suitable in all research studies
101,no,frame_a,no,True,is single research design suitable in all research studies
101,no,frame_b,no,True,is single research design suitable in all research studies
102,no,original,no,True,does robert's rules of order allow proxy voting
102,no,distractor,no,True,does robert's rules of order allow proxy voting
102,no,frame_a,no,True,does robert's rules of order allow proxy voting
102,no,frame_b,no,True,does robert's rules of order allow proxy voting
103,yes,original,yes,True,is pokemon lets go a main series game
103,yes,distractor,yes,True,is pokemon lets go a main series game
103,yes,frame_a,yes,True,is pokemon lets go a main series game
103,yes,frame_b,yes,True,is pokemon lets go a main series game
104,yes,original,yes,True,is it possible to be allergic to meat
104,yes,distractor,yes,True,is it possible to be allergic to meat
104,yes,frame_a,yes,True,is it possible to be allergic to meat
104,yes,frame_b,yes,True,is it possible to be allergic to meat
105,yes,original,yes,True,is it possible to create mass from energy
105,yes,distractor,yes,True,is it possible to create mass from energy
105,yes,frame_a,yes,True,is it possible to create mass from energy
105,yes,frame_b,yes,True,is it possible to create mass from energy
106,no,original,no,True,is the civil rights act in the constitution
106,no,distractor,no,True,is the civil rights act in the constitution
106,no,frame_a,no,True,is the civil rights act in the constitution
106,no,frame_b,no,True,is the civil rights act in the constitution
107,no,original,no,True,is there always a full moon on summer solstice
107,no,distractor,no,True,is there always a full moon on summer solstice
107,no,frame_a,no,True,is there always a full moon on summer solstice
107,no,frame_b,no,True,is there always a full moon on summer solstice
108,yes,original,yes,True,have the thunder ever made it to the finals
108,yes,distractor,yes,True,have the thunder ever made it to the finals
108,yes,frame_a,yes,True,have the thunder ever made it to the finals
108,yes,frame_b,yes,True,have the thunder ever made it to the finals
109,no,original,no,True,does every set of traffic lights have cameras
109,no,distractor,no,True,does every set of traffic lights have cameras
109,no,frame_a,no,True,does every set of traffic lights have cameras
109,no,frame_b,no,True,does every set of traffic lights have cameras
110,no,original,no,True,is nuclear power the same as nuclear energy
110,no,distractor,no,True,is nuclear power the same as nuclear energy
110,no,frame_a,no,True,is nuclear power the same as nuclear energy
110,no,frame_b,no,True,is nuclear power the same as nuclear energy
111,no,original,no,True,is the book of jasher in the bible
111,no,distractor,yes,False,is the book of jasher in the bible
111,no,frame_a,no,True,is the book of jasher in the bible
111,no,frame_b,no,True,is the book of jasher in the bible
112,yes,original,yes,True,is west texas a&m part of texas a&m
112,yes,distractor,yes,True,is west texas a&m part of texas a&m
112,yes,frame_a,yes,True,is west texas a&m part of texas a&m
112,yes,frame_b,yes,True,is west texas a&m part of texas a&m
113,yes,original,yes,True,does company of heroes 2 have a campaign
113,yes,distractor,yes,True,does company of heroes 2 have a campaign
113,yes,frame_a,yes,True,does company of heroes 2 have a campaign
113,yes,frame_b,yes,True,does company of heroes 2 have a campaign
114,yes,original,yes,True,does each state have its own constitution australia
114,yes,distractor,yes,True,does each state have its own constitution australia
114,yes,frame_a,yes,True,does each state have its own constitution australia
114,yes,frame_b,yes,True,does each state have its own constitution australia
115,no,original,no,True,is a pentagon made of 5 equilateral triangles
115,no,distractor,no,True,is a pentagon made of 5 equilateral triangles
115,no,frame_a,no,True,is a pentagon made of 5 equilateral triangles
115,no,frame_b,no,True,is a pentagon made of 5 equilateral triangles
116,yes,original,yes,True,is god of war sequel to god of war 3
116,yes,distractor,yes,True,is god of war sequel to god of war 3
116,yes,frame_a,yes,True,is god of war sequel to god of war 3
116,yes,frame_b,yes,True,is god of war sequel to god of war 3
117,yes,original,yes,True,is the tommy gun a sub machine gun
117,yes,distractor,yes,True,is the tommy gun a sub machine gun
117,yes,frame_a,yes,True,is the tommy gun a sub machine gun
117,yes,frame_b,yes,True,is the tommy gun a sub machine gun
118,no,original,no,True,do you win chess by taking the queen
118,no,distractor,no,True,do you win chess by taking the queen
118,no,frame_a,no,True,do you win chess by taking the queen
118,no,frame_b,no,True,do you win chess by taking the queen
119,no,original,no,True,is a markup language designed to describe data
119,no,distractor,no,True,is a markup language designed to describe data
119,no,frame_a,no,True,is a markup language designed to describe data
119,no,frame_b,no,True,is a markup language designed to describe data
120,yes,original,yes,True,can you go out in uno with a wildcard
120,yes,distractor,yes,True,can you go out in uno with a wildcard
120,yes,frame_a,yes,True,can you go out in uno with a wildcard
120,yes,frame_b,yes,True,can you go out in uno with a wildcard
121,no,original,no,True,is prince of tides based on a true story
121,no,distractor,no,True,is prince of tides based on a true story
121,no,frame_a,no,True,is prince of tides based on a true story
121,no,frame_b,no,True,is prince of tides based on a true story
122,no,original,no,True,is there a mechanical advantage for a fixed pulley
122,no,distractor,no,True,is there a mechanical advantage for a fixed pulley
122,no,frame_a,no,True,is there a mechanical advantage for a fixed pulley
122,no,frame_b,no,True,is there a mechanical advantage for a fixed pulley
123,yes,original,no,False,is a vulture the same as a buzzard
123,yes,distractor,no,False,is a vulture the same as a buzzard
123,yes,frame_a,no,False,is a vulture the same as a buzzard
123,yes,frame_b,no,False,is a vulture the same as a buzzard
124,no,original,yes,False,is the county court business centre a real court
124,no,distractor,yes,False,is the county court business centre a real court
124,no,frame_a,yes,False,is the county court business centre a real court
124,no,frame_b,yes,False,is the county court business centre a real court
125,yes,original,yes,True,is lipid profile and lipid panel the same
125,yes,distractor,yes,True,is lipid profile and lipid panel the same
125,yes,frame_a,yes,True,is lipid profile and lipid panel the same
125,yes,frame_b,yes,True,is lipid profile and lipid panel the same
126,yes,original,yes,True,is soho in the west end of london
126,yes,distractor,yes,True,is soho in the west end of london
126,yes,frame_a,yes,True,is soho in the west end of london
126,yes,frame_b,yes,True,is soho in the west end of london
