id,environment,text,entity,semantic_feature,shortcut_feature,label,shortcut_aligned,rule_label,shortcut_label,split,prediction,correct,failure_type
reversal_0042,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0043,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0044,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0045,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0047,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0048,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0049,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0050,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0051,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0052,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0053,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0054,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0056,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0057,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0058,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0059,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0061,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0062,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0063,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0064,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0065,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0066,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0067,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0068,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0069,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0070,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0072,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0073,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0074,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0075,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0076,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0078,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0080,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0081,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0082,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0083,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0084,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0085,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0086,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0087,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0088,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0089,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0090,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0091,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0092,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0094,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0095,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0096,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0097,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0098,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0099,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0100,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0101,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0102,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0103,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0104,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0105,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0106,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0107,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0108,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0110,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0111,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0114,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0115,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0116,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0117,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0118,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0119,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0120,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0121,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0122,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0123,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0124,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0125,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0126,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0127,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0128,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0129,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0130,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0131,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0132,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0133,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0134,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0135,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0136,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0137,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0138,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0139,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0140,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0141,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0143,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0144,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0145,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0146,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0147,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0148,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0149,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0151,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0152,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0153,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0154,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0155,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0156,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0157,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0158,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0159,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0160,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0161,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0162,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0164,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0165,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0166,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0167,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0168,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0169,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0170,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0171,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0172,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0173,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0174,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0176,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0177,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0178,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0179,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0180,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0181,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0182,E_reversal,The blue glim is observed.,glim,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0184,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0185,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0186,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0187,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0188,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0189,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0190,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0191,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0192,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0193,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0194,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0195,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0197,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0198,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0199,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0200,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0201,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0202,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0203,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0204,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0205,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0206,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0208,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0209,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0210,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0211,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0213,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0214,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0215,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0216,E_reversal,The blue norn is observed.,norn,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0217,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0218,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0219,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0220,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0221,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0223,E_reversal,The red drosh is observed.,drosh,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0224,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0225,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0226,E_reversal,The red rindle is observed.,rindle,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0227,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0228,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0229,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0230,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0232,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0233,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0234,E_reversal,The blue vire is observed.,vire,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0235,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0237,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0238,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0239,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0241,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0242,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0243,E_reversal,The blue palk is observed.,palk,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0244,E_reversal,The red mev is observed.,mev,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0245,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0246,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0247,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0248,E_reversal,The blue koba is observed.,koba,can_fly,blue,yes,False,yes,no,reversal_test,no,False,shortcut_following
reversal_0249,E_reversal,The red zav is observed.,zav,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
reversal_0250,E_reversal,The red plock is observed.,plock,cannot_fly,red,no,False,no,yes,reversal_test,yes,False,shortcut_following
